"opp","biopharm","ustwin","patus","patgsgr","year","ncit","ncountry","nclaims"
0,0,1,1,0,1981,8,3,9
1,1,1,0,1,1980,0,8,5
1,0,1,0,1,1981,0,3,3
0,0,1,0,1,1982,2,5,9
0,0,1,1,0,1983,2,3,13
0,0,1,0,1,1980,2,6,6
0,0,1,0,1,1980,0,5,8
0,0,0,0,1,1980,6,4,22
1,0,1,1,0,1981,2,6,10
1,1,0,1,0,1981,5,8,6
1,1,0,1,0,1988,14,8,10
1,0,1,0,0,1981,1,4,18
0,1,0,1,0,1981,1,6,10
1,0,1,1,0,1980,0,3,9
0,0,1,1,0,1981,4,3,12
1,0,1,1,0,1981,2,3,11
1,1,0,0,1,1983,5,8,13
1,0,1,0,1,1981,2,3,6
0,0,1,1,0,1981,0,3,5
1,1,0,0,1,1982,7,9,33
0,0,1,0,1,1981,3,3,12
1,1,1,0,1,1985,9,9,6
0,1,1,0,1,1981,0,9,4
0,0,1,1,0,1982,2,3,7
0,0,1,1,0,1981,2,4,14
0,0,1,1,0,1980,1,8,4
0,0,1,1,0,1981,0,3,4
0,0,1,1,0,1981,0,3,9
0,0,1,1,0,1982,1,7,5
1,0,1,0,1,1981,1,10,2
1,0,0,0,1,1981,0,4,8
0,0,1,0,0,1982,0,5,11
1,0,1,0,1,1981,1,4,6
1,0,1,0,1,1983,0,8,11
1,0,0,0,1,1981,2,6,1
0,0,1,1,0,1981,0,3,8
0,0,1,0,1,1981,1,3,3
0,0,0,1,0,1982,4,10,12
0,0,1,1,0,1982,1,3,4
0,0,1,0,1,1981,0,3,9
0,0,1,0,1,1982,0,7,5
1,1,1,1,0,1981,0,8,10
1,1,1,0,0,1982,4,6,14
0,0,0,0,1,1980,1,5,7
0,0,1,1,0,1982,17,8,14
0,0,1,1,0,1982,1,4,8
0,0,1,1,0,1982,0,7,16
0,1,0,0,1,1982,5,10,3
0,0,1,1,0,1982,3,4,8
1,1,1,0,0,1981,1,4,8
0,0,1,0,1,1982,0,3,8
0,0,1,0,1,1982,1,9,6
0,0,1,1,0,1982,1,6,16
1,1,1,0,0,1981,0,8,11
1,1,1,0,1,1981,1,10,9
1,0,1,0,1,1982,0,8,4
1,1,1,0,1,1982,6,10,11
1,1,1,0,1,1982,1,10,11
0,0,1,0,1,1981,1,6,22
0,0,1,1,0,1984,2,3,7
1,0,0,0,1,1982,1,7,5
1,0,0,0,1,1982,1,8,10
0,0,1,1,0,1982,1,7,4
1,0,1,0,1,1983,3,6,16
0,0,1,0,1,1981,0,5,6
1,1,1,0,1,1980,3,10,6
0,0,0,0,1,1982,4,5,5
0,1,1,0,1,1983,1,10,10
0,1,1,1,0,1981,1,8,10
1,0,1,0,1,1982,4,5,12
1,1,1,1,0,1983,5,9,12
1,1,1,0,0,1982,0,7,13
0,0,0,0,0,1989,1,10,2
1,1,1,0,1,1981,1,8,10
1,1,0,0,1,1985,3,9,10
0,1,0,1,0,1984,3,9,10
0,0,1,1,0,1983,1,6,14
1,1,1,1,0,1982,13,10,5
1,0,1,1,0,1981,2,7,7
1,0,1,0,0,1985,1,3,17
1,0,1,1,0,1982,0,5,9
0,1,1,1,0,1982,0,5,3
1,1,0,1,0,1983,10,7,39
1,0,1,0,0,1981,0,4,7
1,0,1,0,1,1983,1,6,17
1,1,1,0,1,1982,2,8,12
1,1,0,1,0,1981,4,9,11
1,1,1,0,1,1981,1,8,5
0,0,1,0,0,1982,1,4,7
0,0,1,0,0,1982,0,4,9
1,0,1,0,0,1983,1,4,6
1,1,1,0,1,1982,4,9,7
1,1,0,1,0,1983,7,10,13
1,1,1,0,1,1982,10,10,11
1,0,0,0,0,1983,6,3,10
1,1,0,1,0,1982,1,9,17
1,0,0,0,0,1984,1,3,2
1,1,1,0,1,1986,13,10,32
0,0,1,0,0,1982,1,4,26
1,1,0,0,0,1981,2,5,5
0,1,1,1,0,1982,3,10,14
1,1,1,0,0,1980,5,6,10
1,0,1,0,0,1982,0,3,3
1,0,1,0,1,1981,0,9,16
1,1,1,0,0,1982,4,10,6
0,1,1,1,0,1981,0,5,6
1,1,0,1,0,1983,0,7,8
1,1,0,1,0,1982,0,8,21
0,1,1,0,0,1983,9,4,9
0,0,1,1,0,1984,0,3,8
1,0,1,0,0,1982,2,3,5
1,1,1,0,1,1982,0,3,15
0,1,1,0,1,1982,6,9,14
1,0,1,0,1,1984,1,5,8
0,0,0,0,1,1982,3,4,7
0,1,1,0,1,1982,4,9,10
0,0,0,1,0,1984,0,10,16
1,0,1,0,1,1982,1,8,6
1,0,1,1,0,1984,4,4,6
0,0,0,1,0,1982,0,3,11
1,1,0,1,0,1984,3,6,10
0,0,0,0,1,1982,0,8,7
1,0,0,0,1,1982,0,9,13
0,0,1,1,0,1984,0,3,9
1,1,0,0,0,1982,10,7,16
1,1,1,0,1,1983,6,11,11
1,0,1,0,0,1984,12,4,8
